name,slug,description,price,compare_price,category,flavor,weight,servings,serving_size,in_stock,featured,badge
קריאטין ללעיסה בטעם קוקטייל פירות,creatine-unflavored,"הדרך הנוחה לקחת קריאטין — בכל יום, בלי ערבוב ובלי מים.
טבליות קריאטין ללעיסה של V-FORM Nutrition בטעם קוקטייל פירות, מתאימות לאנשים שמתאמנים ורוצים פתרון מהיר, נוח וטעים לשגרת האימון.
יתרונות המוצר:
 3✅ גרם קריאטין למנה יומית
 150 ✅טבליות באריזה
✅ פחות מ־2 קק״ל לטבלייה
✅ טעם קוקטייל פירות
✅ נוח לשימוש — למציצה או לעיסה
✅ מתאים לפני אימון, אחרי אימון או במהלך היום
✅ ללא צורך במים
למה קריאטין?
קריאטין תורם לשיפור הביצועים הגופניים בפעילות גופנית מתפרצת, קצרת מועד ובעצימות גבוהה, כאשר צורכים 3 גרם קריאטין ביום.
אופן שימוש
יש לצרוך 3 טבליות ביום למציצה או לעיסה.
המנה היומית מספקת 3  גרם קריאטין.",139,160,קריאטין טבליות,קוקטייל פירות מרענן,150 טבליות,166,3g,TRUE,TRUE,
קריאטין ללא טעם,,"Creatine Monohydrate — Unflavored 
הבחירה הקלאסית למי שמעדיף קריאטין נקי ופשוט.
קריאטין ללא טעם, מתאים לערבוב עם מים, מיץ, שייק חלבון או כל משקה אחר, בלי לשנות את הטעם של המשקה.
יתרונות:
קריאטין מונוהידראט
ללא טעם
נוח לערבוב
מתאים לשימוש יומיומי
 500 גרם
166 מנות
הוראות שימוש:
לערבב מנה אחת 3 גרם עם מים או משקה לבחירה, ולצרוך פעם ביום.",149,180,קריאטין,ללא טעם,500 גרם,,,,,
קריאטין טעם ענבים,,"Creatine Monohydrate — grape flavor טעם ענבים
קריאטין מונוהידראט בטעם ענבים מרענן, לשימוש נוח ומהנה יותר ביום־יום.
מתאים למי שרוצה לשלב קריאטין עם טעם מתוק ופירותי, בלי להסתבך עם ערבוב בשייקים.
יתרונות:
קריאטין מונוהידראט
טעם ענבים
אבקה נוחה להכנה
3 גרם למנה
500 גרם
166 מנות
הוראות שימוש:
לערבב מנה אחת 3 גרם עם מים או משקה לבחירה, ולצרוך פעם ביום.",139,180,קריאטין,טעם ענבים,500 גרם,,,,,
קריאטין טעם קוקטייל פירות ,,"
 Creatine Monohydrate — Cocktail Fruit Flavor טעם קוקטייל פירות
קריאטין מונוהידראט בטעם קוקטייל פירות, עם טעם פירותי קליל ומרענן.
מתאים למתאמנים שמחפשים מוצר יעיל עם חוויית שתייה טעימה יותר.
יתרונות:
קריאטין מונוהידראט
טעם קוקטייל פירות
אבקה קלה לשימוש
3 גרם למנה
500 גרם
166 מנות
הוראות שימוש:
לערבב מנה אחת 3 גרם עם מים או משקה לבחירה, ולצרוך פעם ביום.",139,180,קריאטין,קוקטייל פירות מרענן,500 גרם,,,,,
אבקת גלוטמין טהורה ,,"
V-FORM NUTRITION L-Glutamine
אבקת גלוטמין טהורה — ללא טעם
V-FORM L-Glutamine הוא תוסף אבקה איכותי המכיל L-Glutamine טהור, מתאים לספורטאים, מתאמנים ואנשים המקפידים על שגרת תזונה ואימונים.
האבקה מגיעה ללא טעם, כך שניתן לשלב אותה בקלות עם מים, שייק חלבון, מיץ או כל משקה אחר.
יתרונות המוצר:
100% אבקת L-Glutamine
3 גרם למנה
100 מנות באריזה
ללא טעם — קל לשילוב בכל משקה
מתאים לשימוש לאחר אימון או במהלך היום
אופן שימוש מומלץ:
יש לערבב מנה אחת — 3 גרם — עם מים או משקה לבחירה. מומלץ לצרוך בהתאם להוראות שעל גבי התווית.",150,180,חומצות אמינו,ללא טעם,300 גרם,,,,,
אבקת חומצות אמינו BCAA+EAA,,"
 V-FORM AMINO ACIDS BCAA + EAA  טעם קוקטייל פירות
תוסף חומצות אמינו מתקדם מבית V-FORM NUTRITION, המשלב BCAA + EAA בפורמולת אבקה טעימה ונוחה לשילוב בשגרת האימון.
בטעם קוקטייל פירות, עם טעם פירותי קליל ומרענן, מתאים לשתייה לפני אימון, במהלך אימון או לאחר האימון.
יתרונות המוצר:
BCAA + EAA Matrix
חומצות אמינו חיוניות ומסועפות
10 גרם למנה
30 מנות באריזה
טעם קוקטייל פירות
תכולה: 300 גרם
אופן שימוש:
לערבב מנה אחת — 10 גרם — עם  300–500 מ״ל מים קרים, ולשתות פעם ביום.
V-FORM Amino Acids בטעם קוקטייל פירות — פורמולת BCAA + EAA בטעם פירותי מרענן.",165,200,חומצות אמינו,קוקטייל פירות מרענן,300 גרם,,,,,
אבקת חומצות אמינו BCAA+EAA,,"V-FORM AMINO ACIDS BCAA + EAA  טעם ענבים
תוסף חומצות אמינו איכותי מבית V-FORM NUTRITION, המשלב BCAA + EAA בפורמולת אבקה נוחה לשימוש יומי.
בטעם ענבים מרענן, מתאים לשתייה לפני אימון, במהלך אימון או לאחר האימון כחלק משגרת התזונה והאימון שלך.
יתרונות המוצר:
BCAA + EAA Matrix
חומצות אמינו חיוניות ומסועפות
10 גרם למנה
30 מנות באריזה
טעם ענבים
תכולה: 300 גרם
אופן שימוש:
לערבב מנה אחת — 10 גרם — עם 300–500 מ״ל מים קרים, ולשתות פעם ביום.
V-FORM Amino Acids בטעם ענבים — שילוב BCAA + EAA בטעם מרענן ונוח לשימוש.",159,200,חומצות אמינו,טעם ענבים,300 גרם,,,,,
ויטמין C 1000 mg,,"V-FORM NUTRITION Vitamin C 1000 mg
ויטמין C לא חומצי —1000 מ״ג
V-FORM Vitamin C1000 mg  הוא תוסף תזונה המכיל ויטמין C במינון נוח של  500 מ״ג לכמוסה,(500 mgX2 )  בפורמולה לא חומצית ועדינה יותר לשימוש יומי.
ויטמין C הוא רכיב תזונתי חשוב המשתתף בתהליכים רבים בגוף, כולל תמיכה במערכת החיסון, הגנה מפני נזקי חמצון וסיוע ביצירת קולגן תקינה.
יתרונות המוצר

פורמולה לא חומצית
מתאים למי שמעדיף ויטמין C עדין יותר.
תומך במערכת החיסון
ויטמין C מסייע לתפקוד תקין של מערכת החיסון.
נוגד חמצון
מסייע בהגנה על תאי הגוף מפני נזק חמצוני.
90  כמוסות באריזה
אופן שימוש:
יש ליטול 1-2 כמוסות ביום עם מים, רצוי לאחר הארוחה",99,120,ויטמינים ומינרלים וצמחים,,90 כמוסות,,,,,
אבץ פיקולינאט — 50 מ״ג,,"אבץ פיקולינאט — 50 מ״ג
 V-FORM Zinc Picolinate הוא תוסף תזונה המכיל אבץ פיקולינאט 50 מ״ג, בצורה איכותית ונוחה לשימוש יומי.
יתרונות המוצר

אבץ לגברים:
אבץ הוא מינרל חיוני לגברים, המשתתף בתהליכים רבים בגוף. הוא תורם לתפקוד תקין של מערכת החיסון, לשמירה על עור, שיער וציפורניים, להגנה על תאי הגוף מפני נזק חמצוני, ותורם לשמירה על רמות תקינות של טסטוסטרון בדם ולפוריות תקינה.
אבץ לנשים:
אבץ הוא מינרל חיוני לנשים, המשתתף בתהליכים חשובים בגוף. הוא תורם לתפקוד תקין של מערכת החיסון, לשמירה על עור, שיער וציפורניים, להגנה על תאי הגוף מפני נזק חמצוני, ומתאים כחלק משגרת טיפוח פנימית ואורח חיים בריא.

50 מ״ג אבץ פיקולינאט
מינון מרוכז ונוח לשימוש.
תמיכה במערכת החיסון
אבץ מסייע לתפקוד תקין של מערכת החיסון.
שמירה על עור, שיער וציפורניים
אבץ תורם לשמירה על מצב תקין של העור, השיער והציפורניים.
90  כמוסות באריזה
אספקה נוחה לתקופה ממושכת.
אופן שימוש
יש ליטול כמוסה אחת ביום עם מים, רצוי לאחר הארוחה ",99,120,"ויטמינים, מינרלים וצמחים",,90 כמוסות,,,,,
ויטמין D1000IU,,"V-FORM Vitamin D 1000 IU  הוא תוסף תזונה המכיל ויטמין D במינון יומי נוח של 1000 IU לכמוסה.
ויטמין D הוא ויטמין חשוב המשתתף בתהליכים רבים בגוף, כולל תמיכה במערכת החיסון, סיוע בשמירה על בריאות העצמות והשיניים, תמיכה בתפקוד תקין של השרירים, וסיוע בספיגה תקינה של סידן וזרחן. מתאים לשימוש יומיומי כחלק מאורח חיים בריא ותזונה מאוזנת.
יתרונות המוצר
1000 IU לכמוסה
מינון נוח לשימוש יומי.
 90 כמוסות באריזה
אספקה נוחה לשימוש ממושך.
רכיבים איכותיים
פורמולה פשוטה ונוחה לשימוש יומי.
אופן שימוש
יש ליטול כמוסה אחת ביום עם מים, רצוי לאחר הארוחה.",79,100,"ויטמינים, מינרלים וצמחים",,,,,,,
